Column 1,Lat,Lng,
5020,-21.5415319,-42.1835592,
3682,-21.2001578,-41.8803055,
12,-32.031769,-52.1020532,
57,-23.405196,-51.9381769,
16410,-21.1318555,-48.977473,
1036,-19.7825353,-43.951865,
4356,-8.6846464,-35.5893533,
549,-9.9534048,-67.862836,
15522,0.0355735,-51.070535,
4503,-12.6592358,-39.0910271,
15680,-22.5862291,-44.955897,
33,-23.4826224,-47.4259175,
2564,-7.2151485,-35.9074276,
577,-9.5559406,-35.7759743,
4785,-8.741138,-63.8890466,
601,-29.1684223,-51.5135598,
720,-8.2794398,-35.0304219,
35,-22.7378463,-47.3335688,
1028,-22.1969713,-54.9333442,
843,-21.2868285,-50.3390395,
5018,-21.7626682,-41.3184501,
15704,-24.00216,-48.3502638,
568,-2.5764872,-44.2095368,
634,-31.7031463,-52.3986042,
3164,-15.5920888,-56.0987877,
2810,-20.0256695,-44.0572964,
15059,-2.4197522,-54.7410779,
756,-5.077533,-42.8276248,
5,-7.081835,-41.4342391,
5013,-22.8991163,-43.5787511,
18817,-23.5329662,-47.1339974,
589,-5.203327,-37.325162,
54,-22.8171043,-47.069731,
18049,-23.0253181,-45.5726866,
15689,-22.3297869,-49.0740223,
1835,-8.0497192,-48.4891319,
16395,-23.518742,-46.835445,
15769,-20.275723,-50.5414,
5077,2.8328533,-60.6592851,
5099,-23.7118457,-46.5768472,
701,-8.8828551,-36.4968966,
15015,-23.1742245,-50.6695569,
890,-19.8522253,-43.9655329,
3165,-19.7473668,-47.939154,
367,-16.7193953,-43.8787396,
4504,-22.223561,-54.8125486,
18759,-7.2565928,-39.3040654,
699,-8.7635351,-63.9065087,
717,-30.031348,-51.2207722,
3360,-5.7792569,-35.200916,
47,-17.7595564,-48.6087279,
15697,-21.2081188,-50.4405757,
1303,-17.8033354,-50.9053012,
4,-3.0904036,-59.9639274,
58,-23.6888209,-46.5575369,
5052,-22.1170043,-43.2189459,
94,-23.19283,-46.8965363,
702,-7.5630149,-35.0131428,
587,-8.0578381,-34.8828969,
599,-12.9716403,-38.4382589,
950,-13.8384932,-56.0808011,
3163,-22.9125193,-43.2131483,
4858,-8.4176445,-37.0585205,
582,-29.711714,-53.716359,
6,-20.3981554,-43.50897,
3279,-21.7624237,-43.3433999,
15520,-20.4697105,-54.6201211,
588,-25.439355,-49.2688315,
8,-20.7644406,-42.8682446,
32,-9.6731511,-35.758261,
4025,-20.8068865,-49.3937808,
18099,-23.6818396,-46.620967,
1807,-3.7441968,-38.5358771,
15752,-23.4542498,-46.5337925,
15687,-22.9251224,-45.4616987,
596,-18.1992725,-43.575085,
597,-19.7540931,-47.9290242,
688,-15.2553624,-40.2725471,
36,-23.9812341,-46.3115428,
595,-21.4200976,-45.9490032,
584,-16.597653,-49.280033,
4021,-22.23389,-49.64462,
591,-23.598128,-46.6440114,
4396,-17.551776,-52.550311,
15001,-25.5418618,-54.5881382,
15693,-23.589095,-48.0487846,
3172,-3.0927133,-60.0234965,
